Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,
The Postman (Il Postino),1995,68th Academy Awards,3/25/1996,Best Actor,,Massimo Troisi,2/19/1953,43,
Dead Man Walking,1995,68th Academy Awards,3/25/1996,Best Actor,,Sean Penn,8/17/1960,35,
Dead Man Walking,1995,68th Academy Awards,3/25/1996,Best Actress,X,Susan Sarandon,10/4/1946,49,
The Bridges of Madison County,1995,68th Academy Awards,3/25/1996,Best Actress,,Meryl Streep,6/22/1949,46,
Casino,1995,68th Academy Awards,3/25/1996,Best Actress,,Sharon Stone,3/10/1958,38,
Sense and Sensibility,1995,68th Academy Awards,3/25/1996,Best Actress,,Emma Thompson,4/15/1959,36,
Leaving Las Vegas,1995,68th Academy Awards,3/25/1996,Best Actress,,Elisabeth Shue,10/6/1963,32,
The Usual Suspects,1995,68th Academy Awards,3/25/1996,Best Supporting Actor,X,Kevin Spacey,7/26/1959,36,
Babe,1995,68th Academy Awards,3/25/1996,Best Supporting Actor,,James Cromwell,1/27/1940,56,
Apollo 13,1995,68th Academy Awards,3/25/1996,Best Supporting Actor,,Ed Harris,11/28/1950,45,
Rob Roy,1995,68th Academy Awards,3/25/1996,Best Supporting Actor,,Tim Roth,5/14/1961,34,
Twelve Monkeys,1995,68th Academy Awards,3/25/1996,Best Supporting Actor,,Brad Pitt,12/18/1963,32,
Mighty Aphrodite,1995,68th Academy Awards,3/25/1996,Best Supporting Actress,X,Mira Sorvino,9/28/1967,28,
Apollo 13,1995,68th Academy Awards,3/25/1996,Best Supporting Actress,,Kathleen Quinlan,11/19/1954,41,
Nixon,1995,68th Academy Awards,3/25/1996,Best Supporting Actress,,Joan Allen,8/20/1956,39,
Georgia,1995,68th Academy Awards,3/25/1996,Best Supporting Actress,,Mare Winningham,5/16/1959,36,
Sense and Sensibility,1995,68th Academy Awards,3/25/1996,Best Supporting Actress,,Kate Winslet,10/5/1975,20,
Shine,1996,69th Academy Awards,3/24/1997,Best Actor,X,Geoffrey Rush,7/6/1951,45,
Sling Blade,1996,69th Academy Awards,3/24/1997,Best Actor,,Billy Bob Thornton,8/4/1955,41,
The People vs. Larry Flynt,1996,69th Academy Awards,3/24/1997,Best Actor,,Woody Harrelson,7/23/1961,35,
Jerry Maguire,1996,69th Academy Awards,3/24/1997,Best Actor,,Tom Cruise,7/3/1962,34,
The English Patient,1996,69th Academy Awards,3/24/1997,Best Actor,,Ralph Fiennes,12/22/1962,34,
Fargo,1996,69th Academy Awards,3/24/1997,Best Actress,X,Frances McDormand,6/23/1957,39,
Marvin's Room,1996,69th Academy Awards,3/24/1997,Best Actress,,Diane Keaton,1/5/1946,51,
Secrets & Lies,1996,69th Academy Awards,3/24/1997,Best Actress,,Brenda Blethyn,2/20/1946,51,
The English Patient,1996,69th Academy Awards,3/24/1997,Best Actress,,Kristin Scott Thomas,5/24/1960,36,
Breaking the Waves,1996,69th Academy Awards,3/24/1997,Best Actress,,Emily Watson,1/14/1967,30,
Jerry Maguire,1996,69th Academy Awards,3/24/1997,Best Supporting Actor,X,"Cuba Gooding, Jr.",1/2/1968,29,
Shine,1996,69th Academy Awards,3/24/1997,Best Supporting Actor,,Armin Mueller-Stahl,12/17/1930,66,
Ghosts of Mississippi,1996,69th Academy Awards,3/24/1997,Best Supporting Actor,,James Woods,4/18/1947,49,
Fargo,1996,69th Academy Awards,3/24/1997,Best Supporting Actor,,William H. Macy,3/13/1950,47,
Primal Fear,1996,69th Academy Awards,3/24/1997,Best Supporting Actor,,Edward Norton,8/18/1969,27,
The English Patient,1996,69th Academy Awards,3/24/1997,Best Supporting Actress,X,Juliette Binoche,3/9/1964,33,
The Mirror Has Two Faces,1996,69th Academy Awards,3/24/1997,Best Supporting Actress,,Lauren Bacall,9/16/1924,72,
The Portrait of a Lady,1996,69th Academy Awards,3/24/1997,Best Supporting Actress,,Barbara Hershey,2/5/1948,49,
The Crucible,1996,69th Academy Awards,3/24/1997,Best Supporting Actress,,Joan Allen,8/20/1956,40,
Secrets & Lies,1996,69th Academy Awards,3/24/1997,Best Supporting Actress,,Marianne Jean-Baptiste,4/26/1967,29,
As Good As It Gets,1997,70th Academy Awards,3/23/1998,Best Actor,X,Jack Nicholson,4/22/1937,60,
The Apostle,1997,70th Academy Awards,3/23/1998,Best Actor,,Robert Duvall,1/5/1931,67,
Wag the Dog,1997,70th Academy Awards,3/23/1998,Best Actor,,Dustin Hoffman,8/8/1937,60,
Ulee's Gold,1997,70th Academy Awards,3/23/1998,Best Actor,,Peter Fonda,2/23/1940,58,
Good Will Hunting,1997,70th Academy Awards,3/23/1998,Best Actor,,Matt Damon,10/8/1970,27,
As Good As It Gets,1997,70th Academy Awards,3/23/1998,Best Actress,X,Helen Hunt,6/15/1963,34,
Mrs. Brown,1997,70th Academy Awards,3/23/1998,Best Actress,,Judi Dench,12/9/1934,63,
Afterglow,1997,70th Academy Awards,3/23/1998,Best Actress,,Julie Christie,4/14/1941,56,
The Wings of the Dove,1997,70th Academy Awards,3/23/1998,Best Actress,,Helena Bonham Carter,5/26/1966,31,
Titanic,1997,70th Academy Awards,3/23/1998,Best Actress,,Kate Winslet,10/5/1975,22,
Good Will Hunting,1997,70th Academy Awards,3/23/1998,Best Supporting Actor,X,Robin Williams,7/21/1951,46,
Boogie Nights,1997,70th Academy Awards,3/23/1998,Best Supporting Actor,,Burt Reynolds,2/11/1936,62,
Amistad,1997,70th Academy Awards,3/23/1998,Best Supporting Actor,,Anthony Hopkins,12/31/1937,60,
Jackie Brown,1997,70th Academy Awards,3/23/1998,Best Supporting Actor,,Robert Forster,7/13/1941,56,
As Good As It Gets,1997,70th Academy Awards,3/23/1998,Best Supporting Actor,,Greg Kinnear,6/17/1963,34,
L.A. Confidential,1997,70th Academy Awards,3/23/1998,Best Supporting Actress,X,Kim Basinger,12/8/1953,44,
Titanic,1997,70th Academy Awards,3/23/1998,Best Supporting Actress,,Gloria Stuart,7/4/1910,87,
Boogie Nights,1997,70th Academy Awards,3/23/1998,Best Supporting Actress,,Julianne Moore,12/3/1960,37,
In & Out,1997,70th Academy Awards,3/23/1998,Best Supporting Actress,,Joan Cusack,10/11/1962,35,
Good Will Hunting,1997,70th Academy Awards,3/23/1998,Best Supporting Actress,,Minnie Driver,1/31/1970,28,
Life is Beautiful,1998,71st Academy Awards,3/21/1999,Best Actor,X,Roberto Benigni,10/27/1952,46,
Gods and Monsters,1998,71st Academy Awards,3/21/1999,Best Actor,,Ian McKellen,5/25/1939,59,
Affliction,1998,71st Academy Awards,3/21/1999,Best Actor,,Nick Nolte,2/8/1941,58,
Saving Private Ryan,1998,71st Academy Awards,3/21/1999,Best Actor,,Tom Hanks,7/9/1956,42,
American History X,1998,71st Academy Awards,3/21/1999,Best Actor,,Edward Norton,8/18/1969,29,
Shakespeare in Love,1998,71st Academy Awards,3/21/1999,Best Actress,X,Gwyneth Paltrow,9/27/1972,26,
Central Station,1998,71st Academy Awards,3/21/1999,Best Actress,,Fernanda Montenegro,10/16/1929,69,
One True Thing,1998,71st Academy Awards,3/21/1999,Best Actress,,Meryl Streep,6/22/1949,49,
Hilary and Jackie,1998,71st Academy Awards,3/21/1999,Best Actress,,Emily Watson,1/14/1967,32,
Elizabeth,1998,71st Academy Awards,3/21/1999,Best Actress,,Cate Blanchett,5/14/1969,29,
Affliction,1998,71st Academy Awards,3/21/1999,Best Supporting Actor,X,James Coburn,8/31/1928,70,
A Civil Action,1998,71st Academy Awards,3/21/1999,Best Supporting Actor,,Robert Duvall,1/5/1931,68,
The Truman Show,1998,71st Academy Awards,3/21/1999,Best Supporting Actor,,Ed Harris,11/28/1950,48,
Shakespeare in Love,1998,71st Academy Awards,3/21/1999,Best Supporting Actor,,Geoffrey Rush,7/6/1951,47,
A Simple Plan,1998,71st Academy Awards,3/21/1999,Best Supporting Actor,,Billy Bob Thornton,8/4/1955,43,
Shakespeare in Love,1998,71st Academy Awards,3/21/1999,Best Supporting Actress,X,Judi Dench,12/9/1934,64,
Gods and Monsters,1998,71st Academy Awards,3/21/1999,Best Supporting Actress,,Lynn Redgrave,3/8/1943,56,
Little Voice,1998,71st Academy Awards,3/21/1999,Best Supporting Actress,,Brenda Blethyn,2/20/1946,53,
Primary Colors,1998,71st Academy Awards,3/21/1999,Best Supporting Actress,,Kathy Bates,6/28/1948,50,
Hilary and Jackie,1998,71st Academy Awards,3/21/1999,Best Supporting Actress,,Rachel Griffiths,12/18/1968,30,
American Beauty,1999,72nd Academy Awards,3/26/2000,Best Actor,X,Kevin Spacey,7/26/1959,40,
The Straight Story,1999,72nd Academy Awards,3/26/2000,Best Actor,,Richard Farnsworth,9/1/1920,79,
The Hurricane,1999,72nd Academy Awards,3/26/2000,Best Actor,,Denzel Washington,12/28/1954,45,
Sweet and Lowdown,1999,72nd Academy Awards,3/26/2000,Best Actor,,Sean Penn,8/17/1960,39,
The Insider,1999,72nd Academy Awards,3/26/2000,Best Actor,,Russell Crowe,4/7/1964,35,
Boys Don't Cry,1999,72nd Academy Awards,3/26/2000,Best Actress,X,Hilary Swank,7/30/1974,25,
Music of the Heart,1999,72nd Academy Awards,3/26/2000,Best Actress,,Meryl Streep,6/22/1949,50,
American Beauty,1999,72nd Academy Awards,3/26/2000,Best Actress,,Annette Bening,5/29/1958,41,
The End of the Affair,1999,72nd Academy Awards,3/26/2000,Best Actress,,Julianne Moore,12/3/1960,39,
Tumbleweeds,1999,72nd Academy Awards,3/26/2000,Best Actress,,Janet McTeer,8/5/1961,38,
The Cider House Rules,1999,72nd Academy Awards,3/26/2000,Best Supporting Actor,X,Michael Caine,3/14/1933,67,
The Green Mile,1999,72nd Academy Awards,3/26/2000,Best Supporting Actor,,Michael Clarke Duncan,12/10/1957,42,
Magnolia,1999,72nd Academy Awards,3/26/2000,Best Supporting Actor,,Tom Cruise,7/3/1962,37,
The Talented Mr. Ripley,1999,72nd Academy Awards,3/26/2000,Best Supporting Actor,,Jude Law,12/29/1972,27,
The Sixth Sense,1999,72nd Academy Awards,3/26/2000,Best Supporting Actor,,Haley Joel Osment,4/10/1988,11,
"Girl, Interrupted",1999,72nd Academy Awards,3/26/2000,Best Supporting Actress,X,Angelina Jolie,6/4/1975,24,
Being John Malkovich,1999,72nd Academy Awards,3/26/2000,Best Supporting Actress,,Catherine Keener,3/23/1959,41,
The Sixth Sense,1999,72nd Academy Awards,3/26/2000,Best Supporting Actress,,Toni Collette,11/1/1972,27,
Boys Don't Cry,1999,72nd Academy Awards,3/26/2000,Best Supporting Actress,,Chloë Sevigny,11/18/1974,25,
Sweet and Lowdown,1999,72nd Academy Awards,3/26/2000,Best Supporting Actress,,Samantha Morton,5/13/1977,22,
Gladiator,2000,73rd Academy Awards,3/25/2001,Best Actor,X,Russell Crowe,4/7/1964,36,
Pollock,2000,73rd Academy Awards,3/25/2001,Best Actor,,Ed Harris,11/28/1950,50,
Quills,2000,73rd Academy Awards,3/25/2001,Best Actor,,Geoffrey Rush,7/6/1951,49,
Cast Away,2000,73rd Academy Awards,3/25/2001,Best Actor,,Tom Hanks,7/9/1956,44,
Before Night Falls,2000,73rd Academy Awards,3/25/2001,Best Actor,,Javier Bardem,3/1/1969,32,
Erin Brockovich,2000,73rd Academy Awards,3/25/2001,Best Actress,X,Julia Roberts,10/28/1967,33,
Requiem for a Dream,2000,73rd Academy Awards,3/25/2001,Best Actress,,Ellen Burstyn,12/7/1932,68,
The Contender,2000,73rd Academy Awards,3/25/2001,Best Actress,,Joan Allen,8/20/1956,44,
You Can Count on Me,2000,73rd Academy Awards,3/25/2001,Best Actress,,Laura Linney,2/5/1964,37,
Chocolat,2000,73rd Academy Awards,3/25/2001,Best Actress,,Juliette Binoche,3/9/1964,37,
Traffic,2000,73rd Academy Awards,3/25/2001,Best Supporting Actor,X,Benicio Del Toro,2/19/1967,34,
Erin Brockovich,2000,73rd Academy Awards,3/25/2001,Best Supporting Actor,,Albert Finney,5/9/1936,64,
The Contender,2000,73rd Academy Awards,3/25/2001,Best Supporting Actor,,Jeff Bridges,12/4/1949,51,
Shadow of the Vampire,2000,73rd Academy Awards,3/25/2001,Best Supporting Actor,,Willem Dafoe,7/22/1955,45,
Gladiator,2000,73rd Academy Awards,3/25/2001,Best Supporting Actor,,Joaquin Phoenix,10/28/1974,26,
Pollock,2000,73rd Academy Awards,3/25/2001,Best Supporting Actress,X,Marcia Gay Harden,8/14/1959,41,
Chocolat,2000,73rd Academy Awards,3/25/2001,Best Supporting Actress,,Judi Dench,12/9/1934,66,
Billy Elliot,2000,73rd Academy Awards,3/25/2001,Best Supporting Actress,,Julie Walters,2/22/1950,51,
Almost Famous,2000,73rd Academy Awards,3/25/2001,Best Supporting Actress,,Frances McDormand,6/23/1957,43,
Almost Famous,2000,73rd Academy Awards,3/25/2001,Best Supporting Actress,,Kate Hudson,4/19/1979,21,
Training Day,2001,74th Academy Awards,3/24/2002,Best Actor,X,Denzel Washington,12/28/1954,47,
In the Bedroom,2001,74th Academy Awards,3/24/2002,Best Actor,,Tom Wilkinson,2/5/1948,54,
I Am Sam,2001,74th Academy Awards,3/24/2002,Best Actor,,Sean Penn,8/17/1960,41,
A Beautiful Mind,2001,74th Academy Awards,3/24/2002,Best Actor,,Russell Crowe,4/7/1964,37,
Ali,2001,74th Academy Awards,3/24/2002,Best Actor,,Will Smith,9/25/1968,33,
Monster's Ball,2001,74th Academy Awards,3/24/2002,Best Actress,X,Halle Berry,8/14/1966,35,
Iris,2001,74th Academy Awards,3/24/2002,Best Actress,,Judi Dench,12/9/1934,67,
In the Bedroom,2001,74th Academy Awards,3/24/2002,Best Actress,,Sissy Spacek,12/25/1949,52,
Moulin Rouge,2001,74th Academy Awards,3/24/2002,Best Actress,,Nicole Kidman,6/20/1967,34,
Bridget Jones's Diary,2001,74th Academy Awards,3/24/2002,Best Actress,,Renée Zellweger,4/25/1969,32,
Iris,2001,74th Academy Awards,3/24/2002,Best Supporting Actor,X,Jim Broadbent,5/24/1949,52,
Ali,2001,74th Academy Awards,3/24/2002,Best Supporting Actor,,Jon Voight,12/29/1938,63,
The Lord of the Rings: The Fellowship of the Ring,2001,74th Academy Awards,3/24/2002,Best Supporting Actor,,Ian McKellen,5/25/1939,62,
Sexy Beast,2001,74th Academy Awards,3/24/2002,Best Supporting Actor,,Ben Kingsley,12/31/1943,58,
Training Day,2001,74th Academy Awards,3/24/2002,Best Supporting Actor,,Ethan Hawke,11/6/1970,31,
A Beautiful Mind,2001,74th Academy Awards,3/24/2002,Best Supporting Actress,X,Jennifer Connelly,12/12/1970,31,
Gosford Park,2001,74th Academy Awards,3/24/2002,Best Supporting Actress,,Maggie Smith,12/28/1934,67,
Gosford Park,2001,74th Academy Awards,3/24/2002,Best Supporting Actress,,Helen Mirren,7/26/1945,56,
In the Bedroom,2001,74th Academy Awards,3/24/2002,Best Supporting Actress,,Marisa Tomei,12/4/1964,37,
Iris,2001,74th Academy Awards,3/24/2002,Best Supporting Actress,,Kate Winslet,10/5/1975,26,
The Pianist,2002,75th Academy Awards,3/23/2003,Best Actor,X,Adrien Brody,4/14/1973,29,
The Quiet American,2002,75th Academy Awards,3/23/2003,Best Actor,,Michael Caine,3/14/1933,70,
About Schmidt,2002,75th Academy Awards,3/23/2003,Best Actor,,Jack Nicholson,4/22/1937,65,
Gangs of New York,2002,75th Academy Awards,3/23/2003,Best Actor,,Daniel Day-Lewis,4/29/1957,45,
Adaptation,2002,75th Academy Awards,3/23/2003,Best Actor,,Nicolas Cage,1/7/1964,39,
The Hours,2002,75th Academy Awards,3/23/2003,Best Actress,X,Nicole Kidman,6/20/1967,35,
Far from Heaven,2002,75th Academy Awards,3/23/2003,Best Actress,,Julianne Moore,12/3/1960,42,
Unfaithful,2002,75th Academy Awards,3/23/2003,Best Actress,,Diane Lane,1/22/1965,38,
Frida,2002,75th Academy Awards,3/23/2003,Best Actress,,Salma Hayek,9/2/1966,36,
Chicago,2002,75th Academy Awards,3/23/2003,Best Actress,,Renée Zellweger,4/25/1969,33,
Adaptation,2002,75th Academy Awards,3/23/2003,Best Supporting Actor,X,Chris Cooper,7/9/1951,51,
Road to Perdition,2002,75th Academy Awards,3/23/2003,Best Supporting Actor,,Paul Newman,1/26/1925,78,
Catch Me If You Can,2002,75th Academy Awards,3/23/2003,Best Supporting Actor,,Christopher Walken,3/31/1943,60,
The Hours,2002,75th Academy Awards,3/23/2003,Best Supporting Actor,,Ed Harris,11/28/1950,52,
Chicago,2002,75th Academy Awards,3/23/2003,Best Supporting Actor,,John C. Reilly,5/24/1965,37,
Chicago,2002,75th Academy Awards,3/23/2003,Best Supporting Actress,X,Catherine Zeta-Jones,9/25/1969,33,
About Schmidt,2002,75th Academy Awards,3/23/2003,Best Supporting Actress,,Kathy Bates,6/28/1948,54,
Adaptation,2002,75th Academy Awards,3/23/2003,Best Supporting Actress,,Meryl Streep,6/22/1949,53,
The Hours,2002,75th Academy Awards,3/23/2003,Best Supporting Actress,,Julianne Moore,12/3/1960,42,
Chicago,2002,75th Academy Awards,3/23/2003,Best Supporting Actress,,Queen Latifah,3/18/1970,33,
Mystic River,2003,76th Academy Awards,2/29/2004,Best Actor,X,Sean Penn,8/17/1960,43,
House of Sand and Fog,2003,76th Academy Awards,2/29/2004,Best Actor,,Ben Kingsley,12/31/1943,60,
Lost in Translation,2003,76th Academy Awards,2/29/2004,Best Actor,,Bill Murray,9/21/1950,53,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,76th Academy Awards,2/29/2004,Best Actor,,Johnny Depp,6/9/1963,40,
Cold Mountain,2003,76th Academy Awards,2/29/2004,Best Actor,,Jude Law,12/29/1972,31,
Monster,2003,76th Academy Awards,2/29/2004,Best Actress,X,Charlize Theron,8/7/1975,28,
Something's Gotta Give,2003,76th Academy Awards,2/29/2004,Best Actress,,Diane Keaton,1/5/1946,58,
21 Grams,2003,76th Academy Awards,2/29/2004,Best Actress,,Naomi Watts,9/28/1968,35,
In America,2003,76th Academy Awards,2/29/2004,Best Actress,,Samantha Morton,5/13/1977,26,
Whale Rider,2003,76th Academy Awards,2/29/2004,Best Actress,,Keisha Castle-Hughes,3/24/1990,13,
Mystic River,2003,76th Academy Awards,2/29/2004,Best Supporting Actor,X,Tim Robbins,10/16/1958,45,
The Cooler,2003,76th Academy Awards,2/29/2004,Best Supporting Actor,,Alec Baldwin,4/3/1958,45,
The Last Samurai,2003,76th Academy Awards,2/29/2004,Best Supporting Actor,,Ken Watanabe,10/21/1959,44,
In America,2003,76th Academy Awards,2/29/2004,Best Supporting Actor,,Djimon Hounsou,4/24/1964,39,
21 Grams,2003,76th Academy Awards,2/29/2004,Best Supporting Actor,,Benicio Del Toro,2/19/1967,37,
Cold Mountain,2003,76th Academy Awards,2/29/2004,Best Supporting Actress,X,Renée Zellweger,4/25/1969,34,
House of Sand and Fog,2003,76th Academy Awards,2/29/2004,Best Supporting Actress,,Shohreh Aghdashloo,5/11/1952,51,
Thirteen,2003,76th Academy Awards,2/29/2004,Best Supporting Actress,,Holly Hunter,3/20/1958,45,
Mystic River,2003,76th Academy Awards,2/29/2004,Best Supporting Actress,,Marcia Gay Harden,8/14/1959,44,
Pieces of April,2003,76th Academy Awards,2/29/2004,Best Supporting Actress,,Patricia Clarkson,12/29/1959,44,
Ray,2004,77th Academy Awards,2/27/2005,Best Actor,X,Jamie Foxx,12/13/1967,37,
Million Dollar Baby,2004,77th Academy Awards,2/27/2005,Best Actor,,Clint Eastwood,5/31/1930,74,
Finding Neverland,2004,77th Academy Awards,2/27/2005,Best Actor,,Johnny Depp,6/9/1963,41,
Hotel Rwanda,2004,77th Academy Awards,2/27/2005,Best Actor,,Don Cheadle,11/29/1964,40,
The Aviator,2004,77th Academy Awards,2/27/2005,Best Actor,,Leonardo DiCaprio,11/11/1974,30,
Million Dollar Baby,2004,77th Academy Awards,2/27/2005,Best Actress,X,Hilary Swank,7/30/1974,30,
Vera Drake,2004,77th Academy Awards,2/27/2005,Best Actress,,Imelda Staunton,1/9/1956,49,
Being Julia,2004,77th Academy Awards,2/27/2005,Best Actress,,Annette Bening,5/29/1958,46,
Eternal Sunshine of the Spotless Mind,2004,77th Academy Awards,2/27/2005,Best Actress,,Kate Winslet,10/5/1975,29,
Maria Full of Grace,2004,77th Academy Awards,2/27/2005,Best Actress,,Catalina Sandino Moreno,4/19/1981,23,
Million Dollar Baby,2004,77th Academy Awards,2/27/2005,Best Supporting Actor,X,Morgan Freeman,6/1/1937,67,
The Aviator,2004,77th Academy Awards,2/27/2005,Best Supporting Actor,,Alan Alda,1/28/1936,69,
Sideways,2004,77th Academy Awards,2/27/2005,Best Supporting Actor,,Thomas Haden Church,6/17/1960,44,
Closer,2004,77th Academy Awards,2/27/2005,Best Supporting Actor,,Clive Owen,10/3/1964,40,
Collateral,2004,77th Academy Awards,2/27/2005,Best Supporting Actor,,Jamie Foxx,12/13/1967,37,
The Aviator,2004,77th Academy Awards,2/27/2005,Best Supporting Actress,X,Cate Blanchett,5/14/1969,35,
Sideways,2004,77th Academy Awards,2/27/2005,Best Supporting Actress,,Virginia Madsen,9/11/1961,43,
Kinsey,2004,77th Academy Awards,2/27/2005,Best Supporting Actress,,Laura Linney,2/5/1964,41,
Hotel Rwanda,2004,77th Academy Awards,2/27/2005,Best Supporting Actress,,Sophie Okonedo,8/1/1968,36,Unclear
Closer,2004,77th Academy Awards,2/27/2005,Best Supporting Actress,,Natalie Portman,6/9/1981,23,
Capote,2005,78th Academy Awards,3/5/2006,Best Actor,X,Philip Seymour Hoffman,7/23/1967,38,
"Good Night, and Good Luck.",2005,78th Academy Awards,3/5/2006,Best Actor,,David Strathairn,1/26/1949,57,
Hustle & Flow,2005,78th Academy Awards,3/5/2006,Best Actor,,Terrence Howard,3/11/1969,37,
Walk the Line,2005,78th Academy Awards,3/5/2006,Best Actor,,Joaquin Phoenix,10/28/1974,31,
Brokeback Mountain,2005,78th Academy Awards,3/5/2006,Best Actor,,Heath Ledger,4/4/1979,26,
Walk the Line,2005,78th Academy Awards,3/5/2006,Best Actress,X,Reese Witherspoon,3/22/1976,29,
Mrs. Henderson Presents,2005,78th Academy Awards,3/5/2006,Best Actress,,Judi Dench,12/9/1934,71,
Transamerica,2005,78th Academy Awards,3/5/2006,Best Actress,,Felicity Huffman,12/9/1962,43,
North Country,2005,78th Academy Awards,3/5/2006,Best Actress,,Charlize Theron,8/7/1975,30,
Pride & Prejudice,2005,78th Academy Awards,3/5/2006,Best Actress,,Keira Knightley,3/26/1985,20,
Syriana,2005,78th Academy Awards,3/5/2006,Best Supporting Actor,X,George Clooney,5/6/1961,44,
A History of Violence,2005,78th Academy Awards,3/5/2006,Best Supporting Actor,,William Hurt,3/20/1950,55,
Crash,2005,78th Academy Awards,3/5/2006,Best Supporting Actor,,Matt Dillon,2/18/1964,42,
Cinderella Man,2005,78th Academy Awards,3/5/2006,Best Supporting Actor,,Paul Giamatti,6/6/1967,38,
Brokeback Mountain,2005,78th Academy Awards,3/5/2006,Best Supporting Actor,,Jake Gyllenhaal,12/19/1980,25,
The Constant Gardener,2005,78th Academy Awards,3/5/2006,Best Supporting Actress,X,Rachel Weisz,3/7/1970,36,
North Country,2005,78th Academy Awards,3/5/2006,Best Supporting Actress,,Frances McDormand,6/23/1957,48,
Capote,2005,78th Academy Awards,3/5/2006,Best Supporting Actress,,Catherine Keener,3/23/1959,46,
Junebug,2005,78th Academy Awards,3/5/2006,Best Supporting Actress,,Amy Adams,8/20/1974,31,
Brokeback Mountain,2005,78th Academy Awards,3/5/2006,Best Supporting Actress,,Michelle Williams,9/9/1980,25,
The Last King of Scotland,2006,79th Academy Awards,2/25/2007,Best Actor,X,Forest Whitaker,7/15/1961,45,
Venus,2006,79th Academy Awards,2/25/2007,Best Actor,,Peter O’Toole,8/2/1932,74,
The Pursuit of Happyness,2006,79th Academy Awards,2/25/2007,Best Actor,,Will Smith,9/25/1968,38,
Blood Diamond,2006,79th Academy Awards,2/25/2007,Best Actor,,Leonardo DiCaprio,11/11/1974,32,
Half Nelson,2006,79th Academy Awards,2/25/2007,Best Actor,,Ryan Gosling,11/12/1980,26,
The Queen,2006,79th Academy Awards,2/25/2007,Best Actress,X,Helen Mirren,7/26/1945,61,
Notes on a Scandal,2006,79th Academy Awards,2/25/2007,Best Actress,,Judi Dench,12/9/1934,72,
The Devil Wears Prada,2006,79th Academy Awards,2/25/2007,Best Actress,,Meryl Streep,6/22/1949,57,
Volver,2006,79th Academy Awards,2/25/2007,Best Actress,,Penélope Cruz,4/28/1974,32,
Little Children,2006,79th Academy Awards,2/25/2007,Best Actress,,Kate Winslet,10/5/1975,31,
Little Miss Sunshine,2006,79th Academy Awards,2/25/2007,Best Supporting Actor,X,Alan Arkin,3/26/1934,72,
Dreamgirls,2006,79th Academy Awards,2/25/2007,Best Supporting Actor,,Eddie Murphy,4/3/1961,45,
Little Children,2006,79th Academy Awards,2/25/2007,Best Supporting Actor,,Jackie Earle Haley,7/14/1961,45,
Blood Diamond,2006,79th Academy Awards,2/25/2007,Best Supporting Actor,,Djimon Hounsou,4/24/1964,42,
The Departed,2006,79th Academy Awards,2/25/2007,Best Supporting Actor,,Mark Wahlberg,6/5/1971,35,
Dreamgirls,2006,79th Academy Awards,2/25/2007,Best Supporting Actress,X,Jennifer Hudson,9/12/1981,25,
Babel,2006,79th Academy Awards,2/25/2007,Best Supporting Actress,,Adriana Barraza,3/5/1956,51,
Notes on a Scandal,2006,79th Academy Awards,2/25/2007,Best Supporting Actress,,Cate Blanchett,5/14/1969,37,
Babel,2006,79th Academy Awards,2/25/2007,Best Supporting Actress,,Rinko Kikuchi,1/6/1981,26,
Little Miss Sunshine,2006,79th Academy Awards,2/25/2007,Best Supporting Actress,,Abigail Breslin,4/14/1996,10,
There Will Be Blood,2007,80th Academy Awards,2/24/2008,Best Actor,X,Daniel Day-Lewis,4/29/1957,50,
In the Valley of Elah,2007,80th Academy Awards,2/24/2008,Best Actor,,Tommy Lee Jones,9/15/1946,61,
Eastern Promises,2007,80th Academy Awards,2/24/2008,Best Actor,,Viggo Mortensen,10/20/1958,49,
Michael Clayton,2007,80th Academy Awards,2/24/2008,Best Actor,,George Clooney,5/6/1961,46,
Sweeney Todd: The Demon Barber of Fleet Street,2007,80th Academy Awards,2/24/2008,Best Actor,,Johnny Depp,6/9/1963,44,
La Vie en Rose,2007,80th Academy Awards,2/24/2008,Best Actress,X,Marion Cotillard,9/30/1975,32,
Away from Her,2007,80th Academy Awards,2/24/2008,Best Actress,,Julie Christie,4/14/1941,66,
The Savages,2007,80th Academy Awards,2/24/2008,Best Actress,,Laura Linney,2/5/1964,44,
Elizabeth: The Golden Age,2007,80th Academy Awards,2/24/2008,Best Actress,,Cate Blanchett,5/14/1969,38,
Juno,2007,80th Academy Awards,2/24/2008,Best Actress,,Ellen Page,2/21/1987,21,
No Country for Old Men,2007,80th Academy Awards,2/24/2008,Best Supporting Actor,X,Javier Bardem,3/1/1969,39,
Into the Wild,2007,80th Academy Awards,2/24/2008,Best Supporting Actor,,Hal Holbrook,2/17/1925,83,
Michael Clayton,2007,80th Academy Awards,2/24/2008,Best Supporting Actor,,Tom Wilkinson,2/5/1948,60,
Charlie Wilson's War,2007,80th Academy Awards,2/24/2008,Best Supporting Actor,,Philip Seymour Hoffman,7/23/1967,40,
The Assassination of Jesse James by the Coward Robert Ford,2007,80th Academy Awards,2/24/2008,Best Supporting Actor,,Casey Affleck,8/12/1975,32,
Michael Clayton,2007,80th Academy Awards,2/24/2008,Best Supporting Actress,X,Tilda Swinton,11/5/1960,47,
American Gangster,2007,80th Academy Awards,2/24/2008,Best Supporting Actress,,Ruby Dee,10/27/1922,85,
